,Landkreis.Kennung,Datum,Warnstufe,Name,Bundesland
3,FRX,6/19/23,1,Kreis Breisgau-Hochschwarzwald und Stadt Freiburg,Baden-Württemberg
83,FRX,6/20/23,1,Kreis Breisgau-Hochschwarzwald und Stadt Freiburg,Baden-Württemberg
307,FRX,6/21/23,1,Kreis Breisgau-Hochschwarzwald und Stadt Freiburg,Baden-Württemberg
445,FRX,6/22/23,1,Kreis Breisgau-Hochschwarzwald und Stadt Freiburg,Baden-Württemberg
636,FRX,7/8/23,1,Kreis Breisgau-Hochschwarzwald und Stadt Freiburg,Baden-Württemberg
836,FRX,7/9/23,3,Kreis Breisgau-Hochschwarzwald und Stadt Freiburg,Baden-Württemberg
1125,FRX,7/10/23,1,Kreis Breisgau-Hochschwarzwald und Stadt Freiburg,Baden-Württemberg
1205,FRX,7/11/23,3,Kreis Breisgau-Hochschwarzwald und Stadt Freiburg,Baden-Württemberg
1381,FRX,7/15/23,1,Kreis Breisgau-Hochschwarzwald und Stadt Freiburg,Baden-Württemberg
1536,FRX,8/13/23,1,Kreis Breisgau-Hochschwarzwald und Stadt Freiburg,Baden-Württemberg
1610,FRX,8/14/23,3,Kreis Breisgau-Hochschwarzwald und Stadt Freiburg,Baden-Württemberg
1789,FRX,8/15/23,1,Kreis Breisgau-Hochschwarzwald und Stadt Freiburg,Baden-Württemberg
1922,FRX,8/16/23,3,Kreis Breisgau-Hochschwarzwald und Stadt Freiburg,Baden-Württemberg
2042,FRX,8/17/23,1,Kreis Breisgau-Hochschwarzwald und Stadt Freiburg,Baden-Württemberg
2191,FRX,8/18/23,3,Kreis Breisgau-Hochschwarzwald und Stadt Freiburg,Baden-Württemberg
2432,FRX,8/19/23,3,Kreis Breisgau-Hochschwarzwald und Stadt Freiburg,Baden-Württemberg
2726,FRX,8/20/23,3,Kreis Breisgau-Hochschwarzwald und Stadt Freiburg,Baden-Württemberg
2931,FRX,8/21/23,3,Kreis Breisgau-Hochschwarzwald und Stadt Freiburg,Baden-Württemberg
3130,FRX,8/22/23,3,Kreis Breisgau-Hochschwarzwald und Stadt Freiburg,Baden-Württemberg
3254,FRX,8/23/23,3,Kreis Breisgau-Hochschwarzwald und Stadt Freiburg,Baden-Württemberg
3360,FRX,8/24/23,3,Kreis Breisgau-Hochschwarzwald und Stadt Freiburg,Baden-Württemberg
