"Landkreis.Kennung","Datum","Warnstufe","Name","Bundesland"
"EMX",2023-06-19,1,"Kreis Emmendingen","Baden-Württemberg"
"FNX",2023-06-19,1,"Bodenseekreis","Baden-Württemberg"
"FRX",2023-06-19,1,"Kreis Breisgau-Hochschwarzwald und Stadt Freiburg","Baden-Württemberg"
"KNX",2023-06-19,1,"Kreis Konstanz","Baden-Württemberg"
"LOE",2023-06-19,1,"Kreis Lörrach","Baden-Württemberg"
"OGX",2023-06-19,1,"Ortenaukreis","Baden-Württemberg"
"RWX",2023-06-19,1,"Kreis Rottweil","Baden-Württemberg"
"WTX",2023-06-19,1,"Kreis Waldshut","Baden-Württemberg"
"AAX",2023-06-20,1,"Ostalbkreis","Baden-Württemberg"
"ABG",2023-06-20,1,"Kreis Altenburger Land","Thüringen"
"ABI",2023-06-20,1,"Kreis Anhalt-Bitterfeld","Sachsen-Anhalt"
"ABX",2023-06-20,1,"Kreis und Stadt Aschaffenburg","Bayern"
"ACX",2023-06-20,1,"StädteRegion Aachen","Nordrhein-Westfalen"
"AIC",2023-06-20,1,"Kreis Aichach-Friedberg","Bayern"
"AKX",2023-06-20,1,"Kreis Altenkirchen (Westerwald)","Rheinland-Pfalz"
"AMX",2023-06-20,1,"Stadt Amberg","Bayern"
"ANX",2023-06-20,1,"Kreis und Stadt Ansbach","Bayern"
"APX",2023-06-20,1,"Kreis Weimarer Land","Thüringen"
"ASX",2023-06-20,1,"Kreis Amberg-Sulzbach","Bayern"
"AWX",2023-06-20,1,"Kreis Ahrweiler","Rheinland-Pfalz"
"AXX",2023-06-20,1,"Kreis und Stadt Augsburg","Bayern"
"AZX",2023-06-20,1,"Kreis Alzey-Worms","Rheinland-Pfalz"
"BAD",2023-06-20,1,"Stadt Baden-Baden","Baden-Württemberg"
"BAX",2023-06-20,1,"Kreis und Stadt Bamberg","Bayern"
"BBX",2023-06-20,1,"Kreis Böblingen","Baden-Württemberg"
"BIR",2023-06-20,1,"Kreis Birkenfeld","Rheinland-Pfalz"
"BIT",2023-06-20,1,"Eifelkreis Bitburg-Prüm","Rheinland-Pfalz"
"BLK",2023-06-20,1,"Burgenlandkreis","Sachsen-Anhalt"
"BLX",2023-06-20,1,"Zollernalbkreis","Baden-Württemberg"
"BMX",2023-06-20,1,"Rhein-Erft-Kreis","Nordrhein-Westfalen"
"BNX",2023-06-20,1,"Bonn","Nordrhein-Westfalen"
"BOR",2023-06-20,1,"Kreis Borken","Nordrhein-Westfalen"
"BOT",2023-06-20,1,"Stadt Bottrop","Nordrhein-Westfalen"
"BOX",2023-06-20,1,"Stadt Bochum","Nordrhein-Westfalen"
"BTX",2023-06-20,1,"Kreis und Stadt Bayreuth","Bayern"
"BZF",2023-06-20,1,"Kreis Bautzen - Tiefland","Sachsen"
"BZH",2023-06-20,1,"Kreis Bautzen - Bergland","Sachsen"
"CHA",2023-06-20,1,"Kreis Cham","Bayern"
"COC",2023-06-20,1,"Kreis Cochem-Zell","Rheinland-Pfalz"
"COE",2023-06-20,1,"Kreis Coesfeld","Nordrhein-Westfalen"
"COX",2023-06-20,1,"Kreis und Stadt Coburg","Bayern"
"CWX",2023-06-20,1,"Kreis Calw","Baden-Württemberg"
"CXX",2023-06-20,1,"Stadt Chemnitz","Sachsen"
"DAH",2023-06-20,1,"Kreis Dachau","Bayern"
"DAU",2023-06-20,1,"Kreis Vulkaneifel","Rheinland-Pfalz"
"DAX",2023-06-20,1,"Kreis Darmstadt-Dieburg und Stadt Darmstadt","Hessen"
"DDX",2023-06-20,1,"Stadt Dresden","Sachsen"
"DEG",2023-06-20,1,"Kreis Deggendorf","Bayern"
