"","X.3","X.2","datetime","station_id","type","ta","rh","No","station_lat","station_lon","sunrise","sunset","time_of_day","period","date","phenophase","Year","Month","Day_of_month","Hour","YYYYMMDDHHMM_To","WindSpeed_Avg_m_s","WindSpeed_Max_m_s","cooling_rate","time_after_sunset"
"1",5,5,"2023-01-01 01:00:00","FRBETZ","measured",15.3885,61.3099999999999,1,48.0049,7.817673,"2023-01-01 07:19:51","2023-01-01 15:46:35",1,"night","2023-01-01","leafless",2023,1,1,0,"2023-01-01 00:59:00",5.38,8.3,NA,9
"2",12,12,"2023-01-01 02:00:00","FRBETZ","measured",14.1501666666667,65.3116666666667,1,48.0049,7.817673,"2023-01-01 07:19:51","2023-01-01 15:46:35",2,"night","2023-01-01","leafless",2023,1,1,1,"2023-01-01 01:59:00",4.72,6.93,1.2383333333333,10
"3",15,15,"2023-01-01 03:00:00","FRBETZ","measured",14.4761666666667,64.3983333333333,1,48.0049,7.817673,"2023-01-01 07:19:51","2023-01-01 15:46:35",3,"night","2023-01-01","leafless",2023,1,1,2,"2023-01-01 02:59:00",4.56,7.38,-0.326000000000001,11
"4",21,21,"2023-01-01 04:00:00","FRBETZ","measured",14.0736666666667,64.7516666666667,1,48.0049,7.817673,"2023-01-01 07:19:51","2023-01-01 15:46:35",4,"night","2023-01-01","leafless",2023,1,1,3,"2023-01-01 03:59:00",4.23,5.66,0.4025,12
"5",30,30,"2023-01-01 05:00:00","FRBETZ","measured",13.1508333333333,66.89,1,48.0049,7.817673,"2023-01-01 07:19:51","2023-01-01 15:46:35",5,"night","2023-01-01","leafless",2023,1,1,4,"2023-01-01 04:59:00",5.01,7.44,0.922833333333401,13
"6",35,35,"2023-01-01 06:00:00","FRBETZ","measured",11.9278333333333,70.0933333333333,1,48.0049,7.817673,"2023-01-01 07:19:51","2023-01-01 15:46:35",6,"night","2023-01-01","leafless",2023,1,1,5,"2023-01-01 05:59:00",2.22,3.33,1.223,14
"7",41,41,"2023-01-01 07:00:00","FRBETZ","measured",10.9733333333333,73.0966666666667,1,48.0049,7.817673,"2023-01-01 07:19:51","2023-01-01 15:46:35",7,"night","2023-01-01","leafless",2023,1,1,6,"2023-01-01 06:59:00",2.48,3.96,0.954499999999999,15
"8",47,47,"2023-01-01 08:00:00","FRBETZ","measured",10.222,76.095,1,48.0049,7.817673,"2023-01-01 07:19:51","2023-01-01 15:46:35",8,"day","2023-01-01","leafless",2023,1,1,7,"2023-01-01 07:59:00",1.69,2.66,0.751333333333301,16
"9",50,50,"2023-01-01 09:00:00","FRBETZ","measured",12.7368333333333,68.8533333333333,1,48.0049,7.817673,"2023-01-01 07:19:51","2023-01-01 15:46:35",9,"day","2023-01-01","leafless",2023,1,1,8,"2023-01-01 08:59:00",1.91,3.17,-2.5148333333333,17
"10",56,56,"2023-01-01 10:00:00","FRBETZ","measured",15.5486666666667,60.125,1,48.0049,7.817673,"2023-01-01 07:19:51","2023-01-01 15:46:35",10,"day","2023-01-01","leafless",2023,1,1,9,"2023-01-01 09:59:00",2.43,3.08,-2.8118333333334,18
