"","X.3","X.2","datetime","station_id","type","ta","rh","No","station_lat","station_lon","sunrise","sunset","time_of_day","period","date","phenophase","Year","Month","Day_of_month","Hour","YYYYMMDDHHMM_To","WindSpeed_Avg_m_s","WindSpeed_Max_m_s","cooling_rate","time_after_sunset","temp_diff_UNIK","temp_diff_MESS"
"1",4,4,"2023-01-01 01:00:00","FRFRIE","measured",15.5611666666667,59.95,1,48.010887,7.841538,"2023-01-01 07:19:46","2023-01-01 15:46:28",1,"night","2023-01-01","leafless",2023,1,1,0,"2023-01-01 00:59:00",5.38,8.3,NA,9,-0.341666666666701,0.0338333333333001
"2",9,9,"2023-01-01 02:00:00","FRFRIE","measured",14.4716666666667,64.03,1,48.010887,7.841538,"2023-01-01 07:19:46","2023-01-01 15:46:28",2,"night","2023-01-01","leafless",2023,1,1,1,"2023-01-01 01:59:00",4.72,6.93,1.0895,10,-0.0289999999999999,0.168333333333301
"3",11,11,"2023-01-01 03:00:00","FRFRIE","measured",14.1881666666667,64.6966666666667,1,48.010887,7.841538,"2023-01-01 07:19:46","2023-01-01 15:46:28",3,"night","2023-01-01","leafless",2023,1,1,2,"2023-01-01 02:59:00",4.56,7.38,0.2835,11,0.0860000000000003,0.1283333333333
"4",17,17,"2023-01-01 04:00:00","FRFRIE","measured",13.4441666666667,66.8516666666667,1,48.010887,7.841538,"2023-01-01 07:19:46","2023-01-01 15:46:28",4,"night","2023-01-01","leafless",2023,1,1,3,"2023-01-01 03:59:00",4.23,5.66,0.744,12,0.4345,-0.119666666666699
"5",25,25,"2023-01-01 05:00:00","FRFRIE","measured",13.723,64.4666666666667,1,48.010887,7.841538,"2023-01-01 07:19:46","2023-01-01 15:46:28",5,"night","2023-01-01","leafless",2023,1,1,4,"2023-01-01 04:59:00",5.01,7.44,-0.278833333333301,13,0.405999999999999,0.344666666666699
"6",29,29,"2023-01-01 06:00:00","FRFRIE","measured",10.8065,76.0400000000001,1,48.010887,7.841538,"2023-01-01 07:19:46","2023-01-01 15:46:28",6,"night","2023-01-01","leafless",2023,1,1,5,"2023-01-01 05:59:00",2.22,3.33,2.9165,14,1.03,-0.507999999999999
"7",35,35,"2023-01-01 07:00:00","FRFRIE","measured",10.3115,78.43,1,48.010887,7.841538,"2023-01-01 07:19:46","2023-01-01 15:46:28",7,"night","2023-01-01","leafless",2023,1,1,6,"2023-01-01 06:59:00",2.48,3.96,0.494999999999999,15,0.480499999999999,-1.23299999999999
"8",37,37,"2023-01-01 08:00:00","FRFRIE","measured",9.91433333333334,80.655,1,48.010887,7.841538,"2023-01-01 07:19:46","2023-01-01 15:46:28",8,"day","2023-01-01","leafless",2023,1,1,7,"2023-01-01 07:59:00",1.69,2.66,0.39716666666666,16,0.829666666666659,-0.50266666666667
"9",42,42,"2023-01-01 09:00:00","FRFRIE","measured",12.8518333333333,68.83,1,48.010887,7.841538,"2023-01-01 07:19:46","2023-01-01 15:46:28",9,"day","2023-01-01","leafless",2023,1,1,8,"2023-01-01 08:59:00",1.91,3.17,-2.93749999999996,17,0.1548333333334,-0.4445
"10",49,49,"2023-01-01 10:00:00","FRFRIE","measured",17.5676666666667,51.2016666666666,1,48.010887,7.841538,"2023-01-01 07:19:46","2023-01-01 15:46:28",10,"day","2023-01-01","leafless",2023,1,1,9,"2023-01-01 09:59:00",2.43,3.08,-4.7158333333334,18,-0.517333333333401,0.356166666666599
"11",51,51,"2023-01-01 11:00:00","FRFRIE","measured",18.974,44.2116666666667,1,48.010887,7.841538,"2023-01-01 07:19:46","2023-01-01 15:46:28",11,"day","2023-01-01","leafless",2023,1,1,10,"2023-01-01 10:59:00",1.48,2.75,-1.4063333333333,19,-0.995166666666702,0.857666666666699
"12",56,56,"2023-01-01 12:00:00","FRFRIE","measured",19.5368333333333,42.075,1,48.010887,7.841538,"2023-01-01 07:19:46","2023-01-01 15:46:28",12,"day","2023-01-01","leafless",2023,1,1,11,"2023-01-01 11:59:00",1.78,3.27,-0.562833333333298,20,-2.8003333333333,0.212333333333401
"13",63,63,"2023-01-01 13:00:00","FRFRIE","measured",19.4131666666667,43.0266666666667,1,48.010887,7.841538,"2023-01-01 07:19:46","2023-01-01 15:46:28",13,"day","2023-01-01","leafless",2023,1,1,12,"2023-01-01 12:59:00",1.48,2.28,0.123666666666598,21,-2.3348333333334,0.231833333333299
"14",70,70,"2023-01-01 14:00:00","FRFRIE","measured",19.3703333333333,41.2566666666666,1,48.010887,7.841538,"2023-01-01 07:19:46","2023-01-01 15:46:28",14,"day","2023-01-01","leafless",2023,1,1,13,"2023-01-01 13:59:00",1.62,2.41,0.0428333333334017,22,-2.584,0.252500000000001
"15",75,75,"2023-01-01 15:00:00","FRFRIE","measured",17.061,47.305,1,48.010887,7.841538,"2023-01-01 07:19:46","2023-01-01 15:46:28",15,"day","2023-01-01","leafless",2023,1,1,14,"2023-01-01 14:59:00",1.29,2,2.3093333333333,23,-0.891500000000001,1.4433333333333
"16",79,79,"2023-01-01 16:00:00","FRFRIE","measured",13.8553333333333,61.2733333333333,1,48.010887,7.841538,"2023-01-01 07:19:46","2023-01-01 15:46:28",16,"night","2023-01-01","leafless",2023,1,1,15,"2023-01-01 15:59:00",1.44,1.92,3.2056666666667,0,0.4175,0.125666666666699
"17",85,85,"2023-01-01 17:00:00","FRFRIE","measured",11.926,70.5900000000001,1,48.010887,7.841538,"2023-01-01 07:19:46","2023-01-01 15:46:28",17,"night","2023-01-01","leafless",2023,1,1,16,"2023-01-01 16:59:00",1.44,2.34,1.9293333333333,1,0.7801666666667,-0.0466666666667006
