"","X.3","X.2","datetime","station_id","type","ta","rh","No","station_lat","station_lon","sunrise","sunset","time_of_day","period","date","phenophase","Year","Month","Day_of_month","Hour","YYYYMMDDHHMM_To","WindSpeed_Avg_m_s","WindSpeed_Max_m_s","cooling_rate","time_after_sunset"
"1",5,5,"2023-01-01 01:00:00","FRHOCH","measured",15.4831666666667,61.0216666666667,1,48.053762,7.805014,"2023-01-01 07:20:06","2023-01-01 15:46:26",1,"night","2023-01-01","leafless",2023,1,1,0,"2023-01-01 00:59:00",5.38,8.3,NA,9
"2",6,6,"2023-01-01 02:00:00","FRHOCH","measured",14.9793333333333,62.8083333333333,1,48.053762,7.805014,"2023-01-01 07:20:06","2023-01-01 15:46:26",2,"night","2023-01-01","leafless",2023,1,1,1,"2023-01-01 01:59:00",4.72,6.93,0.5038333333334,10
"3",13,13,"2023-01-01 03:00:00","FRHOCH","measured",14.1238333333333,65.805,1,48.053762,7.805014,"2023-01-01 07:20:06","2023-01-01 15:46:26",3,"night","2023-01-01","leafless",2023,1,1,2,"2023-01-01 02:59:00",4.56,7.38,0.855499999999999,11
"4",19,19,"2023-01-01 04:00:00","FRHOCH","measured",13.9315,65.8183333333333,1,48.053762,7.805014,"2023-01-01 07:20:06","2023-01-01 15:46:26",4,"night","2023-01-01","leafless",2023,1,1,3,"2023-01-01 03:59:00",4.23,5.66,0.1923333333333,12
"5",24,24,"2023-01-01 05:00:00","FRHOCH","measured",13.6806666666667,66.0083333333334,1,48.053762,7.805014,"2023-01-01 07:20:06","2023-01-01 15:46:26",5,"night","2023-01-01","leafless",2023,1,1,4,"2023-01-01 04:59:00",5.01,7.44,0.250833333333301,13
"6",27,27,"2023-01-01 06:00:00","FRHOCH","measured",12.4148333333333,70.0433333333333,1,48.053762,7.805014,"2023-01-01 07:20:06","2023-01-01 15:46:26",6,"night","2023-01-01","leafless",2023,1,1,5,"2023-01-01 05:59:00",2.22,3.33,1.2658333333334,14
"7",32,32,"2023-01-01 07:00:00","FRHOCH","measured",12.1868333333333,69.4000000000001,1,48.053762,7.805014,"2023-01-01 07:20:06","2023-01-01 15:46:26",7,"night","2023-01-01","leafless",2023,1,1,6,"2023-01-01 06:59:00",2.48,3.96,0.228,15
"8",40,40,"2023-01-01 08:00:00","FRHOCH","measured",11.3635,72.6833333333334,1,48.053762,7.805014,"2023-01-01 07:20:06","2023-01-01 15:46:26",8,"day","2023-01-01","leafless",2023,1,1,7,"2023-01-01 07:59:00",1.69,2.66,0.8233333333333,16
"9",44,44,"2023-01-01 09:00:00","FRHOCH","measured",13.768,63.01,1,48.053762,7.805014,"2023-01-01 07:20:06","2023-01-01 15:46:26",9,"day","2023-01-01","leafless",2023,1,1,8,"2023-01-01 08:59:00",1.91,3.17,-2.4045,17
"10",50,50,"2023-01-01 10:00:00","FRHOCH","measured",16.3866666666667,53.7666666666667,1,48.053762,7.805014,"2023-01-01 07:20:06","2023-01-01 15:46:26",10,"day","2023-01-01","leafless",2023,1,1,9,"2023-01-01 09:59:00",2.43,3.08,-2.6186666666667,18
"11",55,55,"2023-01-01 11:00:00","FRHOCH","measured",18.2858333333333,46.355,1,48.053762,7.805014,"2023-01-01 07:20:06","2023-01-01 15:46:26",11,"day","2023-01-01","leafless",2023,1,1,10,"2023-01-01 10:59:00",1.48,2.75,-1.8991666666666,19
"12",58,58,"2023-01-01 12:00:00","FRHOCH","measured",18.7235,44.5733333333333,1,48.053762,7.805014,"2023-01-01 07:20:06","2023-01-01 15:46:26",12,"day","2023-01-01","leafless",2023,1,1,11,"2023-01-01 11:59:00",1.78,3.27,-0.437666666666701,20
"13",61,61,"2023-01-01 13:00:00","FRHOCH","measured",19.7255,42.0683333333333,1,48.053762,7.805014,"2023-01-01 07:20:06","2023-01-01 15:46:26",13,"day","2023-01-01","leafless",2023,1,1,12,"2023-01-01 12:59:00",1.48,2.28,-1.002,21
"14",68,68,"2023-01-01 14:00:00","FRHOCH","measured",19.3328333333333,43.8416666666667,1,48.053762,7.805014,"2023-01-01 07:20:06","2023-01-01 15:46:26",14,"day","2023-01-01","leafless",2023,1,1,13,"2023-01-01 13:59:00",1.62,2.41,0.392666666666699,22
"15",71,71,"2023-01-01 15:00:00","FRHOCH","measured",18.0123333333333,47.2083333333333,1,48.053762,7.805014,"2023-01-01 07:20:06","2023-01-01 15:46:26",15,"day","2023-01-01","leafless",2023,1,1,14,"2023-01-01 14:59:00",1.29,2,1.3205,23
"16",76,76,"2023-01-01 16:00:00","FRHOCH","measured",15.5941666666667,51.9766666666667,1,48.053762,7.805014,"2023-01-01 07:20:06","2023-01-01 15:46:26",16,"night","2023-01-01","leafless",2023,1,1,15,"2023-01-01 15:59:00",1.44,1.92,2.4181666666666,0
"17",83,83,"2023-01-01 17:00:00","FRHOCH","measured",11.9716666666667,67.8466666666667,1,48.053762,7.805014,"2023-01-01 07:20:06","2023-01-01 15:46:26",17,"night","2023-01-01","leafless",2023,1,1,16,"2023-01-01 16:59:00",1.44,2.34,3.6225,1
"18",88,88,"2023-01-01 18:00:00","FRHOCH","measured",9.99883333333333,77.5366666666667,1,48.053762,7.805014,"2023-01-01 07:20:06","2023-01-01 15:46:26",18,"night","2023-01-01","leafless",2023,1,1,17,"2023-01-01 17:59:00",1.1,2.31,1.97283333333337,2
"19",92,92,"2023-01-01 19:00:00","FRHOCH","measured",9.61466666666666,81.4233333333334,1,48.053762,7.805014,"2023-01-01 07:20:06","2023-01-01 15:46:26",19,"night","2023-01-01","leafless",2023,1,1,18,"2023-01-01 18:59:00",4.46,6.65,0.384166666666671,3
"20",98,98,"2023-01-01 20:00:00","FRHOCH","measured",8.93900000000001,85.1366666666666,1,48.053762,7.805014,"2023-01-01 07:20:06","2023-01-01 15:46:26",20,"night","2023-01-01","leafless",2023,1,1,19,"2023-01-01 19:59:00",4.37,5.74,0.675666666666649,4
"21",103,103,"2023-01-01 21:00:00","FRHOCH","measured",9.17116666666668,84.3833333333332,1,48.053762,7.805014,"2023-01-01 07:20:06","2023-01-01 15:46:26",21,"night","2023-01-01","leafless",2023,1,1,20,"2023-01-01 20:59:00",3.63,4.95,-0.23216666666667,5
"22",110,110,"2023-01-01 22:00:00","FRHOCH","measured",9.1605,85.7716666666667,1,48.053762,7.805014,"2023-01-01 07:20:06","2023-01-01 15:46:26",22,"night","2023-01-01","leafless",2023,1,1,21,"2023-01-01 21:59:00",2.73,3.44,0.0106666666666797,6
"23",112,112,"2023-01-01 23:00:00","FRHOCH","measured",8.37316666666668,87.3966666666666,1,48.053762,7.805014,"2023-01-01 07:20:06","2023-01-01 15:46:26",23,"night","2023-01-01","leafless",2023,1,1,22,"2023-01-01 22:59:00",1.56,2.99,0.78733333333332,7
"24",116,116,"2023-01-02 00:00:00","FRHOCH","measured",7.805,90.61,1,48.053762,7.805014,"2023-01-02 07:20:04","2023-01-02 15:47:23",0,"night","2023-01-01","leafless",2023,1,1,23,"2023-01-01 23:59:00",2.36,3.63,0.568166666666681,8
"25",123,123,"2023-01-02 01:00:00","FRHOCH","measured",8.15783333333334,86.855,1,48.053762,7.805014,"2023-01-02 07:20:04","2023-01-02 15:47:23",1,"night","2023-01-02","leafless",2023,1,2,0,"2023-01-02 00:59:00",1.73,3.15,-0.35283333333334,9
"26",129,129,"2023-01-02 02:00:00","FRHOCH","measured",7.91816666666667,85.1016666666666,1,48.053762,7.805014,"2023-01-02 07:20:04","2023-01-02 15:47:23",2,"night","2023-01-02","leafless",2023,1,2,1,"2023-01-02 01:59:00",2.36,3.45,0.23966666666667,10
"27",132,132,"2023-01-02 03:00:00","FRHOCH","measured",7.41916666666667,87.24,1,48.053762,7.805014,"2023-01-02 07:20:04","2023-01-02 15:47:23",3,"night","2023-01-02","leafless",2023,1,2,2,"2023-01-02 02:59:00",1.84,2.52,0.499,11
"28",138,138,"2023-01-02 04:00:00","FRHOCH","measured",7.864,84.58,1,48.053762,7.805014,"2023-01-02 07:20:04","2023-01-02 15:47:23",4,"night","2023-01-02","leafless",2023,1,2,3,"2023-01-02 03:59:00",1.82,2.79,-0.44483333333333,12
"29",145,145,"2023-01-02 05:00:00","FRHOCH","measured",9.36733333333333,75.6449999999999,1,48.053762,7.805014,"2023-01-02 07:20:04","2023-01-02 15:47:23",5,"night","2023-01-02","leafless",2023,1,2,4,"2023-01-02 04:59:00",2.54,4.84,-1.50333333333333,13
"30",150,150,"2023-01-02 06:00:00","FRHOCH","measured",11.4188333333333,64.8416666666667,1,48.053762,7.805014,"2023-01-02 07:20:04","2023-01-02 15:47:23",6,"night","2023-01-02","leafless",2023,1,2,5,"2023-01-02 05:59:00",3.67,4.54,-2.05149999999997,14
"31",155,155,"2023-01-02 07:00:00","FRHOCH","measured",12.2253333333333,55.8666666666667,1,48.053762,7.805014,"2023-01-02 07:20:04","2023-01-02 15:47:23",7,"night","2023-01-02","leafless",2023,1,2,6,"2023-01-02 06:59:00",3.52,4.31,-0.8065,15
"32",159,159,"2023-01-02 08:00:00","FRHOCH","measured",13.0396666666667,50.3983333333334,1,48.053762,7.805014,"2023-01-02 07:20:04","2023-01-02 15:47:23",8,"day","2023-01-02","leafless",2023,1,2,7,"2023-01-02 07:59:00",4,4.75,-0.8143333333334,16
"33",164,164,"2023-01-02 09:00:00","FRHOCH","measured",14.2006666666667,44.4950000000001,1,48.053762,7.805014,"2023-01-02 07:20:04","2023-01-02 15:47:23",9,"day","2023-01-02","leafless",2023,1,2,8,"2023-01-02 08:59:00",3.37,4.51,-1.161,17
