"","X.3","X.2","datetime","station_id","type","ta","rh","No","station_lat","station_lon","sunrise","sunset","time_of_day","period","date","phenophase","Year","Month","Day_of_month","Hour","YYYYMMDDHHMM_To","WindSpeed_Avg_m_s","WindSpeed_Max_m_s","cooling_rate","time_after_sunset"
"1",6,6,"2023-01-01 01:00:00","FRINST","measured",15.4281666666667,59.2000000000001,1,48.000045,7.848589,"2023-01-01 07:19:42","2023-01-01 15:46:29",1,"night","2023-01-01","leafless",2023,1,1,0,"2023-01-01 00:59:00",5.38,8.3,NA,9
"2",11,11,"2023-01-01 02:00:00","FRINST","measured",15.1848333333333,59.8666666666667,1,48.000045,7.848589,"2023-01-01 07:19:42","2023-01-01 15:46:29",2,"night","2023-01-01","leafless",2023,1,1,1,"2023-01-01 01:59:00",4.72,6.93,0.2433333333334,10
"3",17,17,"2023-01-01 03:00:00","FRINST","measured",14.6551666666667,61.6733333333333,1,48.000045,7.848589,"2023-01-01 07:19:42","2023-01-01 15:46:29",3,"night","2023-01-01","leafless",2023,1,1,2,"2023-01-01 02:59:00",4.56,7.38,0.5296666666666,11
"4",19,19,"2023-01-01 04:00:00","FRINST","measured",14.7331666666667,60.5083333333333,1,48.000045,7.848589,"2023-01-01 07:19:42","2023-01-01 15:46:29",4,"night","2023-01-01","leafless",2023,1,1,3,"2023-01-01 03:59:00",4.23,5.66,-0.0779999999999994,12
"5",26,26,"2023-01-01 05:00:00","FRINST","measured",14.6296666666667,59.7316666666666,1,48.000045,7.848589,"2023-01-01 07:19:42","2023-01-01 15:46:29",5,"night","2023-01-01","leafless",2023,1,1,4,"2023-01-01 04:59:00",5.01,7.44,0.103499999999999,13
"6",33,33,"2023-01-01 06:00:00","FRINST","measured",11.9445,70.3616666666667,1,48.000045,7.848589,"2023-01-01 07:19:42","2023-01-01 15:46:29",6,"night","2023-01-01","leafless",2023,1,1,5,"2023-01-01 05:59:00",2.22,3.33,2.6851666666667,14
"7",37,37,"2023-01-01 07:00:00","FRINST","measured",11.4986666666667,71.42,1,48.000045,7.848589,"2023-01-01 07:19:42","2023-01-01 15:46:29",7,"night","2023-01-01","leafless",2023,1,1,6,"2023-01-01 06:59:00",2.48,3.96,0.445833333333299,15
"8",48,48,"2023-01-01 08:00:00","FRINST","measured",11.4193333333333,71.3566666666667,1,48.000045,7.848589,"2023-01-01 07:19:42","2023-01-01 15:46:29",8,"day","2023-01-01","leafless",2023,1,1,7,"2023-01-01 07:59:00",1.69,2.66,0.0793333333334001,16
"9",49,49,"2023-01-01 09:00:00","FRINST","measured",12.9695,65.0616666666667,1,48.000045,7.848589,"2023-01-01 07:19:42","2023-01-01 15:46:29",9,"day","2023-01-01","leafless",2023,1,1,8,"2023-01-01 08:59:00",1.91,3.17,-1.5501666666667,17
"10",59,59,"2023-01-01 10:00:00","FRINST","measured",15.0965,57.18,1,48.000045,7.848589,"2023-01-01 07:19:42","2023-01-01 15:46:29",10,"day","2023-01-01","leafless",2023,1,1,9,"2023-01-01 09:59:00",2.43,3.08,-2.127,18
"11",63,63,"2023-01-01 11:00:00","FRINST","measured",16.5736666666667,49.1333333333334,1,48.000045,7.848589,"2023-01-01 07:19:42","2023-01-01 15:46:29",11,"day","2023-01-01","leafless",2023,1,1,10,"2023-01-01 10:59:00",1.48,2.75,-1.4771666666667,19
"12",70,70,"2023-01-01 12:00:00","FRINST","measured",17.2406666666667,47.14,1,48.000045,7.848589,"2023-01-01 07:19:42","2023-01-01 15:46:29",12,"day","2023-01-01","leafless",2023,1,1,11,"2023-01-01 11:59:00",1.78,3.27,-0.667000000000002,20
"13",75,75,"2023-01-01 13:00:00","FRINST","measured",17.1736666666667,47.075,1,48.000045,7.848589,"2023-01-01 07:19:42","2023-01-01 15:46:29",13,"day","2023-01-01","leafless",2023,1,1,12,"2023-01-01 12:59:00",1.48,2.28,0.0670000000000002,21
"14",82,82,"2023-01-01 14:00:00","FRINST","measured",17.2131666666667,46.1583333333333,1,48.000045,7.848589,"2023-01-01 07:19:42","2023-01-01 15:46:29",14,"day","2023-01-01","leafless",2023,1,1,13,"2023-01-01 13:59:00",1.62,2.41,-0.0395000000000003,22
"15",86,86,"2023-01-01 15:00:00","FRINST","measured",16.6485,49.4833333333333,1,48.000045,7.848589,"2023-01-01 07:19:42","2023-01-01 15:46:29",15,"day","2023-01-01","leafless",2023,1,1,14,"2023-01-01 14:59:00",1.29,2,0.564666666666703,23
"16",96,96,"2023-01-01 16:00:00","FRINST","measured",14.3478333333333,61.15,1,48.000045,7.848589,"2023-01-01 07:19:42","2023-01-01 15:46:29",16,"night","2023-01-01","leafless",2023,1,1,15,"2023-01-01 15:59:00",1.44,1.92,2.3006666666667,0
"17",98,98,"2023-01-01 17:00:00","FRINST","measured",12.9901666666667,66.3616666666666,1,48.000045,7.848589,"2023-01-01 07:19:42","2023-01-01 15:46:29",17,"night","2023-01-01","leafless",2023,1,1,16,"2023-01-01 16:59:00",1.44,2.34,1.3576666666666,1
"18",106,106,"2023-01-01 18:00:00","FRINST","measured",12.6801666666667,65.3433333333334,1,48.000045,7.848589,"2023-01-01 07:19:42","2023-01-01 15:46:29",18,"night","2023-01-01","leafless",2023,1,1,17,"2023-01-01 17:59:00",1.1,2.31,0.31,2
"19",110,110,"2023-01-01 19:00:00","FRINST","measured",15.6688333333333,48.1333333333334,1,48.000045,7.848589,"2023-01-01 07:19:42","2023-01-01 15:46:29",19,"night","2023-01-01","leafless",2023,1,1,18,"2023-01-01 18:59:00",4.46,6.65,-2.9886666666666,3
"20",118,118,"2023-01-01 20:00:00","FRINST","measured",15.3218333333333,48.0766666666667,1,48.000045,7.848589,"2023-01-01 07:19:42","2023-01-01 15:46:29",20,"night","2023-01-01","leafless",2023,1,1,19,"2023-01-01 19:59:00",4.37,5.74,0.347,4
"21",126,126,"2023-01-01 21:00:00","FRINST","measured",14.0766666666667,51.2416666666667,1,48.000045,7.848589,"2023-01-01 07:19:42","2023-01-01 15:46:29",21,"night","2023-01-01","leafless",2023,1,1,20,"2023-01-01 20:59:00",3.63,4.95,1.2451666666666,5
"22",132,132,"2023-01-01 22:00:00","FRINST","measured",12.4485,57.6716666666666,1,48.000045,7.848589,"2023-01-01 07:19:42","2023-01-01 15:46:29",22,"night","2023-01-01","leafless",2023,1,1,21,"2023-01-01 21:59:00",2.73,3.44,1.6281666666667,6
"23",137,137,"2023-01-01 23:00:00","FRINST","measured",11.5205,64.6516666666667,1,48.000045,7.848589,"2023-01-01 07:19:42","2023-01-01 15:46:29",23,"night","2023-01-01","leafless",2023,1,1,22,"2023-01-01 22:59:00",1.56,2.99,0.927999999999999,7
"24",144,144,"2023-01-02 00:00:00","FRINST","measured",11.3388333333333,66.1983333333333,1,48.000045,7.848589,"2023-01-02 07:19:40","2023-01-02 15:47:25",0,"night","2023-01-01","leafless",2023,1,1,23,"2023-01-01 23:59:00",2.36,3.63,0.1816666666667,8
"25",148,148,"2023-01-02 01:00:00","FRINST","measured",10.886,66.4783333333333,1,48.000045,7.848589,"2023-01-02 07:19:40","2023-01-02 15:47:25",1,"night","2023-01-02","leafless",2023,1,2,0,"2023-01-02 00:59:00",1.73,3.15,0.452833333333301,9
"26",153,153,"2023-01-02 02:00:00","FRINST","measured",10.259,70.8833333333334,1,48.000045,7.848589,"2023-01-02 07:19:40","2023-01-02 15:47:25",2,"night","2023-01-02","leafless",2023,1,2,1,"2023-01-02 01:59:00",2.36,3.45,0.626999999999999,10
"27",158,158,"2023-01-02 03:00:00","FRINST","measured",9.74966666666668,73.0166666666667,1,48.000045,7.848589,"2023-01-02 07:19:40","2023-01-02 15:47:25",3,"night","2023-01-02","leafless",2023,1,2,2,"2023-01-02 02:59:00",1.84,2.52,0.50933333333332,11
"28",163,163,"2023-01-02 04:00:00","FRINST","measured",10.5041666666667,66.73,1,48.000045,7.848589,"2023-01-02 07:19:40","2023-01-02 15:47:25",4,"night","2023-01-02","leafless",2023,1,2,3,"2023-01-02 03:59:00",1.82,2.79,-0.75450000000002,12
"29",171,171,"2023-01-02 05:00:00","FRINST","measured",11.4015,58.3333333333333,1,48.000045,7.848589,"2023-01-02 07:19:40","2023-01-02 15:47:25",5,"night","2023-01-02","leafless",2023,1,2,4,"2023-01-02 04:59:00",2.54,4.84,-0.8973333333333,13
"30",175,175,"2023-01-02 06:00:00","FRINST","measured",12.9545,49.1733333333334,1,48.000045,7.848589,"2023-01-02 07:19:40","2023-01-02 15:47:25",6,"night","2023-01-02","leafless",2023,1,2,5,"2023-01-02 05:59:00",3.67,4.54,-1.553,14
"31",182,182,"2023-01-02 07:00:00","FRINST","measured",12.76,49.8616666666666,1,48.000045,7.848589,"2023-01-02 07:19:40","2023-01-02 15:47:25",7,"night","2023-01-02","leafless",2023,1,2,6,"2023-01-02 06:59:00",3.52,4.31,0.1945,15
"32",191,191,"2023-01-02 08:00:00","FRINST","measured",13.462,45.915,1,48.000045,7.848589,"2023-01-02 07:19:40","2023-01-02 15:47:25",8,"day","2023-01-02","leafless",2023,1,2,7,"2023-01-02 07:59:00",4,4.75,-0.702,16
"33",194,194,"2023-01-02 09:00:00","FRINST","measured",12.5033333333333,50.8366666666667,1,48.000045,7.848589,"2023-01-02 07:19:40","2023-01-02 15:47:25",9,"day","2023-01-02","leafless",2023,1,2,8,"2023-01-02 08:59:00",3.37,4.51,0.9586666666667,17
