"","X.3","X.2","datetime","station_id","type","ta","rh","No","station_lat","station_lon","sunrise","sunset","time_of_day","period","date","phenophase","Year","Month","Day_of_month","Hour","YYYYMMDDHHMM_To","WindSpeed_Avg_m_s","WindSpeed_Max_m_s","cooling_rate","time_after_sunset"
"1",3,3,"2023-01-01 01:00:00","FRKART","measured",15.5891666666667,57.2816666666667,1,47.996988,7.850794,"2023-01-01 07:19:41","2023-01-01 15:46:29",1,"night","2023-01-01","leafless",2023,1,1,0,"2023-01-01 00:59:00",5.38,8.3,NA,9
"2",9,9,"2023-01-01 02:00:00","FRKART","measured",15.4508333333333,57.55,1,47.996988,7.850794,"2023-01-01 07:19:41","2023-01-01 15:46:29",2,"night","2023-01-01","leafless",2023,1,1,1,"2023-01-01 01:59:00",4.72,6.93,0.138333333333399,10
"3",13,13,"2023-01-01 03:00:00","FRKART","measured",14.9558333333333,59.4483333333333,1,47.996988,7.850794,"2023-01-01 07:19:41","2023-01-01 15:46:29",3,"night","2023-01-01","leafless",2023,1,1,2,"2023-01-01 02:59:00",4.56,7.38,0.494999999999999,11
"4",24,24,"2023-01-01 04:00:00","FRKART","measured",15.1605,57.4616666666667,1,47.996988,7.850794,"2023-01-01 07:19:41","2023-01-01 15:46:29",4,"night","2023-01-01","leafless",2023,1,1,3,"2023-01-01 03:59:00",4.23,5.66,-0.2046666666667,12
"5",25,25,"2023-01-01 05:00:00","FRKART","measured",14.8765,57.775,1,47.996988,7.850794,"2023-01-01 07:19:41","2023-01-01 15:46:29",5,"night","2023-01-01","leafless",2023,1,1,4,"2023-01-01 04:59:00",5.01,7.44,0.284000000000001,13
"6",36,36,"2023-01-01 06:00:00","FRKART","measured",13.2496666666667,65.455,1,47.996988,7.850794,"2023-01-01 07:19:41","2023-01-01 15:46:29",6,"night","2023-01-01","leafless",2023,1,1,5,"2023-01-01 05:59:00",2.22,3.33,1.6268333333333,14
"7",40,40,"2023-01-01 07:00:00","FRKART","measured",13.0386666666667,64.955,1,47.996988,7.850794,"2023-01-01 07:19:41","2023-01-01 15:46:29",7,"night","2023-01-01","leafless",2023,1,1,6,"2023-01-01 06:59:00",2.48,3.96,0.211,15
"8",43,43,"2023-01-01 08:00:00","FRKART","measured",12.6545,66.3316666666668,1,47.996988,7.850794,"2023-01-01 07:19:41","2023-01-01 15:46:29",8,"day","2023-01-01","leafless",2023,1,1,7,"2023-01-01 07:59:00",1.69,2.66,0.384166666666699,16
"9",54,54,"2023-01-01 09:00:00","FRKART","measured",13.3491666666667,62.5033333333334,1,47.996988,7.850794,"2023-01-01 07:19:41","2023-01-01 15:46:29",9,"day","2023-01-01","leafless",2023,1,1,8,"2023-01-01 08:59:00",1.91,3.17,-0.6946666666667,17
"10",58,58,"2023-01-01 10:00:00","FRKART","measured",14.5921666666667,57.8383333333334,1,47.996988,7.850794,"2023-01-01 07:19:41","2023-01-01 15:46:29",10,"day","2023-01-01","leafless",2023,1,1,9,"2023-01-01 09:59:00",2.43,3.08,-1.243,18
