"","X.3","X.2","datetime","station_id","type","ta","rh","No","station_lat","station_lon","sunrise","sunset","time_of_day","period","date","phenophase","Year","Month","Day_of_month","Hour","YYYYMMDDHHMM_To","WindSpeed_Avg_m_s","WindSpeed_Max_m_s","cooling_rate","time_after_sunset"
"1",1,1,"2023-01-01 01:00:00","FRMESS","measured",15.595,64.8466666666667,1,48.016982,7.842709,"2023-01-01 07:19:48","2023-01-01 15:46:26",1,"night","2023-01-01","leafless",2023,1,1,0,"2023-01-01 00:59:00",5.38,8.3,NA,9
"2",7,7,"2023-01-01 02:00:00","FRMESS","measured",14.64,69.13,1,48.016982,7.842709,"2023-01-01 07:19:48","2023-01-01 15:46:26",2,"night","2023-01-01","leafless",2023,1,1,1,"2023-01-01 01:59:00",4.72,6.93,0.955,10
"3",14,14,"2023-01-01 03:00:00","FRMESS","measured",14.3165,70.135,1,48.016982,7.842709,"2023-01-01 07:19:48","2023-01-01 15:46:26",3,"night","2023-01-01","leafless",2023,1,1,2,"2023-01-01 02:59:00",4.56,7.38,0.323500000000001,11
"4",23,23,"2023-01-01 04:00:00","FRMESS","measured",13.3245,73.9566666666667,1,48.016982,7.842709,"2023-01-01 07:19:48","2023-01-01 15:46:26",4,"night","2023-01-01","leafless",2023,1,1,3,"2023-01-01 03:59:00",4.23,5.66,0.991999999999999,12
"5",29,29,"2023-01-01 05:00:00","FRMESS","measured",14.0676666666667,68.7416666666667,1,48.016982,7.842709,"2023-01-01 07:19:48","2023-01-01 15:46:26",5,"night","2023-01-01","leafless",2023,1,1,4,"2023-01-01 04:59:00",5.01,7.44,-0.743166666666699,13
"6",34,34,"2023-01-01 06:00:00","FRMESS","measured",10.2985,86.0033333333334,1,48.016982,7.842709,"2023-01-01 07:19:48","2023-01-01 15:46:26",6,"night","2023-01-01","leafless",2023,1,1,5,"2023-01-01 05:59:00",2.22,3.33,3.7691666666667,14
"7",42,42,"2023-01-01 07:00:00","FRMESS","measured",9.07850000000001,93.355,1,48.016982,7.842709,"2023-01-01 07:19:48","2023-01-01 15:46:26",7,"night","2023-01-01","leafless",2023,1,1,6,"2023-01-01 06:59:00",2.48,3.96,1.21999999999999,15
"8",45,45,"2023-01-01 08:00:00","FRMESS","measured",9.41166666666667,91.4250000000001,1,48.016982,7.842709,"2023-01-01 07:19:48","2023-01-01 15:46:26",8,"day","2023-01-01","leafless",2023,1,1,7,"2023-01-01 07:59:00",1.69,2.66,-0.33316666666666,16
"9",52,52,"2023-01-01 09:00:00","FRMESS","measured",12.4073333333333,77.9833333333333,1,48.016982,7.842709,"2023-01-01 07:19:48","2023-01-01 15:46:26",9,"day","2023-01-01","leafless",2023,1,1,8,"2023-01-01 08:59:00",1.91,3.17,-2.99566666666663,17
"10",55,55,"2023-01-01 10:00:00","FRMESS","measured",17.9238333333333,52.1366666666667,1,48.016982,7.842709,"2023-01-01 07:19:48","2023-01-01 15:46:26",10,"day","2023-01-01","leafless",2023,1,1,9,"2023-01-01 09:59:00",2.43,3.08,-5.5165,18
