"","X.3","X.2","datetime","station_id","type","ta","rh","No","station_lat","station_lon","sunrise","sunset","time_of_day","period","date","phenophase","Year","Month","Day_of_month","Hour","YYYYMMDDHHMM_To","WindSpeed_Avg_m_s","WindSpeed_Max_m_s","cooling_rate","time_after_sunset","temp_diff"
"1",1,1,"2023-01-01 01:00:00","FRSEEP","measured",15.6336666666667,59.5216666666667,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",1,"night","2023-01-01","leafless",2023,1,1,0,"2023-01-01 00:59:00",5.38,8.3,NA,9,-0.2451666666667
"2",8,8,"2023-01-01 02:00:00","FRSEEP","measured",14.629,63.1933333333333,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",2,"night","2023-01-01","leafless",2023,1,1,1,"2023-01-01 01:59:00",4.72,6.93,1.0046666666667,10,-0.4788333333333
"3",12,12,"2023-01-01 03:00:00","FRSEEP","measured",14.885,61.9,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",3,"night","2023-01-01","leafless",2023,1,1,2,"2023-01-01 02:59:00",4.56,7.38,-0.256,11,-0.4088333333333
"4",20,20,"2023-01-01 04:00:00","FRSEEP","measured",14.8746666666667,60.9116666666666,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",4,"night","2023-01-01","leafless",2023,1,1,3,"2023-01-01 03:59:00",4.23,5.66,0.0103333333332998,12,-0.801
"5",21,21,"2023-01-01 05:00:00","FRSEEP","measured",14.4591666666667,61.6483333333333,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",5,"night","2023-01-01","leafless",2023,1,1,4,"2023-01-01 04:59:00",5.01,7.44,0.4155,13,-1.3083333333334
"6",28,28,"2023-01-01 06:00:00","FRSEEP","measured",13.3803333333333,64.57,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",6,"night","2023-01-01","leafless",2023,1,1,5,"2023-01-01 05:59:00",2.22,3.33,1.0788333333334,14,-1.4525
"7",33,33,"2023-01-01 07:00:00","FRSEEP","measured",12.8336666666667,65.5,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",7,"night","2023-01-01","leafless",2023,1,1,6,"2023-01-01 06:59:00",2.48,3.96,0.546666666666601,15,-1.8603333333334
"8",36,36,"2023-01-01 08:00:00","FRSEEP","measured",12.1296666666667,68.4016666666668,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",8,"day","2023-01-01","leafless",2023,1,1,7,"2023-01-01 07:59:00",1.69,2.66,0.703999999999999,16,-1.9076666666667
"9",43,43,"2023-01-01 09:00:00","FRSEEP","measured",14.3948333333333,59.175,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",9,"day","2023-01-01","leafless",2023,1,1,8,"2023-01-01 08:59:00",1.91,3.17,-2.2651666666666,17,-1.658
"10",47,47,"2023-01-01 10:00:00","FRSEEP","measured",16.8296666666667,52.0750000000001,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",10,"day","2023-01-01","leafless",2023,1,1,9,"2023-01-01 09:59:00",2.43,3.08,-2.4348333333334,18,-1.281
"11",53,53,"2023-01-01 11:00:00","FRSEEP","measured",18.4208333333333,45.7716666666667,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",11,"day","2023-01-01","leafless",2023,1,1,10,"2023-01-01 10:59:00",1.48,2.75,-1.5911666666666,19,-1.8608333333333
"12",60,60,"2023-01-01 12:00:00","FRSEEP","measured",18.7515,44.47,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",12,"day","2023-01-01","leafless",2023,1,1,11,"2023-01-01 11:59:00",1.78,3.27,-0.330666666666701,20,-1.4263333333333
"13",64,64,"2023-01-01 13:00:00","FRSEEP","measured",18.5148333333333,44.5233333333333,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",13,"day","2023-01-01","leafless",2023,1,1,12,"2023-01-01 12:59:00",1.48,2.28,0.2366666666667,21,0.198499999999999
"14",69,69,"2023-01-01 14:00:00","FRSEEP","measured",18.7305,43.9183333333333,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",14,"day","2023-01-01","leafless",2023,1,1,13,"2023-01-01 13:59:00",1.62,2.41,-0.215666666666699,22,-0.376333333333299
"15",73,73,"2023-01-01 15:00:00","FRSEEP","measured",17.9853333333333,45.2316666666666,1,48.011264,7.819404,"2023-01-01 07:19:52","2023-01-01 15:46:33",15,"day","2023-01-01","leafless",2023,1,1,14,"2023-01-01 14:59:00",1.29,2,0.745166666666698,23,-1.2653333333333
