"","X.3","X.2","datetime","station_id","type","ta","rh","No","station_lat","station_lon","sunrise","sunset","time_of_day","period","date","phenophase","Year","Month","Day_of_month","Hour","YYYYMMDDHHMM_To","WindSpeed_Avg_m_s","WindSpeed_Max_m_s","cooling_rate","time_after_sunset","temp_diff_KART","temp_diff_INST","temp_diff_HERD"
"1",3,3,"2023-01-01 01:00:00","FRSTGA","measured",14.4605,62.8033333333334,1,47.997815,7.857968,"2023-01-01 07:19:39","2023-01-01 15:46:27",1,"night","2023-01-01","leafless",2023,1,1,0,"2023-01-01 00:59:00",5.38,8.3,NA,9,1.1286666666667,0.9676666666667,0.1511666666667
"2",7,7,"2023-01-01 02:00:00","FRSTGA","measured",13.2948333333333,67.6983333333333,1,47.997815,7.857968,"2023-01-01 07:19:39","2023-01-01 15:46:27",2,"night","2023-01-01","leafless",2023,1,1,1,"2023-01-01 01:59:00",4.72,6.93,1.1656666666667,10,2.156,1.89,0.2151666666667
"3",14,14,"2023-01-01 03:00:00","FRSTGA","measured",13.0038333333333,68.9683333333334,1,47.997815,7.857968,"2023-01-01 07:19:39","2023-01-01 15:46:27",3,"night","2023-01-01","leafless",2023,1,1,2,"2023-01-01 02:59:00",4.56,7.38,0.290999999999999,11,1.952,1.6513333333334,-0.2155
"4",18,18,"2023-01-01 04:00:00","FRSTGA","measured",12.9631666666667,68.3433333333334,1,47.997815,7.857968,"2023-01-01 07:19:39","2023-01-01 15:46:27",4,"night","2023-01-01","leafless",2023,1,1,3,"2023-01-01 03:59:00",4.23,5.66,0.0406666666666009,12,2.1973333333333,1.77,-0.6198333333334
"5",23,23,"2023-01-01 05:00:00","FRSTGA","measured",12.7123333333333,68.5166666666666,1,47.997815,7.857968,"2023-01-01 07:19:39","2023-01-01 15:46:27",5,"night","2023-01-01","leafless",2023,1,1,4,"2023-01-01 04:59:00",5.01,7.44,0.2508333333334,13,2.1641666666667,1.9173333333334,-0.142333333333299
"6",26,26,"2023-01-01 06:00:00","FRSTGA","measured",10.1081666666667,80.9399999999999,1,47.997815,7.857968,"2023-01-01 07:19:39","2023-01-01 15:46:27",6,"night","2023-01-01","leafless",2023,1,1,5,"2023-01-01 05:59:00",2.22,3.33,2.6041666666666,14,3.1415,1.8363333333333,0.4668333333333
"7",34,34,"2023-01-01 07:00:00","FRSTGA","measured",10.494,77.4616666666667,1,47.997815,7.857968,"2023-01-01 07:19:39","2023-01-01 15:46:27",7,"night","2023-01-01","leafless",2023,1,1,6,"2023-01-01 06:59:00",2.48,3.96,-0.3858333333333,15,2.5446666666667,1.0046666666667,0.2076666666667
"8",38,38,"2023-01-01 08:00:00","FRSTGA","measured",9.919,80.3316666666667,1,47.997815,7.857968,"2023-01-01 07:19:39","2023-01-01 15:46:27",8,"day","2023-01-01","leafless",2023,1,1,7,"2023-01-01 07:59:00",1.69,2.66,0.574999999999999,16,2.7355,1.5003333333333,0.245999999999999
"9",41,41,"2023-01-01 09:00:00","FRSTGA","measured",11.249,74.78,1,47.997815,7.857968,"2023-01-01 07:19:39","2023-01-01 15:46:27",9,"day","2023-01-01","leafless",2023,1,1,8,"2023-01-01 08:59:00",1.91,3.17,-1.33,17,2.1001666666667,1.7205,-0.405666666666701
"10",46,46,"2023-01-01 10:00:00","FRSTGA","measured",12.4811666666667,69.75,1,47.997815,7.857968,"2023-01-01 07:19:39","2023-01-01 15:46:27",10,"day","2023-01-01","leafless",2023,1,1,9,"2023-01-01 09:59:00",2.43,3.08,-1.2321666666667,18,2.111,2.6153333333333,0.2038333333333
