"","X.3","X.2","datetime","station_id","type","ta","rh","No","station_lat","station_lon","sunrise","sunset","time_of_day","period","date","phenophase","Year","Month","Day_of_month","Hour","YYYYMMDDHHMM_To","WindSpeed_Avg_m_s","WindSpeed_Max_m_s","cooling_rate","time_after_sunset"
"1",4,4,"2023-01-01 01:00:00","FRUNIK","measured",15.2195,58.5866666666667,1,48.005184,7.839931,"2023-01-01 07:19:45","2023-01-01 15:46:30",1,"night","2023-01-01","leafless",2023,1,1,0,"2023-01-01 00:59:00",5.38,8.3,NA,9
"2",10,10,"2023-01-01 02:00:00","FRUNIK","measured",14.4426666666667,61.4316666666667,1,48.005184,7.839931,"2023-01-01 07:19:45","2023-01-01 15:46:30",2,"night","2023-01-01","leafless",2023,1,1,1,"2023-01-01 01:59:00",4.72,6.93,0.7768333333333,10
"3",16,16,"2023-01-01 03:00:00","FRUNIK","measured",14.2741666666667,61.6833333333333,1,48.005184,7.839931,"2023-01-01 07:19:45","2023-01-01 15:46:30",3,"night","2023-01-01","leafless",2023,1,1,2,"2023-01-01 02:59:00",4.56,7.38,0.1685,11
"4",20,20,"2023-01-01 04:00:00","FRUNIK","measured",13.8786666666667,62.29,1,48.005184,7.839931,"2023-01-01 07:19:45","2023-01-01 15:46:30",4,"night","2023-01-01","leafless",2023,1,1,3,"2023-01-01 03:59:00",4.23,5.66,0.3955,12
"5",27,27,"2023-01-01 05:00:00","FRUNIK","measured",14.129,59.9083333333334,1,48.005184,7.839931,"2023-01-01 07:19:45","2023-01-01 15:46:30",5,"night","2023-01-01","leafless",2023,1,1,4,"2023-01-01 04:59:00",5.01,7.44,-0.2503333333333,13
"6",31,31,"2023-01-01 06:00:00","FRUNIK","measured",11.8365,68.9916666666666,1,48.005184,7.839931,"2023-01-01 07:19:45","2023-01-01 15:46:30",6,"night","2023-01-01","leafless",2023,1,1,5,"2023-01-01 05:59:00",2.22,3.33,2.2925,14
"7",38,38,"2023-01-01 07:00:00","FRUNIK","measured",10.792,73.4633333333334,1,48.005184,7.839931,"2023-01-01 07:19:45","2023-01-01 15:46:30",7,"night","2023-01-01","leafless",2023,1,1,6,"2023-01-01 06:59:00",2.48,3.96,1.0445,15
"8",44,44,"2023-01-01 08:00:00","FRUNIK","measured",10.744,73.8166666666666,1,48.005184,7.839931,"2023-01-01 07:19:45","2023-01-01 15:46:30",8,"day","2023-01-01","leafless",2023,1,1,7,"2023-01-01 07:59:00",1.69,2.66,0.048,16
"9",53,53,"2023-01-01 09:00:00","FRUNIK","measured",13.0066666666667,64.755,1,48.005184,7.839931,"2023-01-01 07:19:45","2023-01-01 15:46:30",9,"day","2023-01-01","leafless",2023,1,1,8,"2023-01-01 08:59:00",1.91,3.17,-2.2626666666667,17
"10",60,60,"2023-01-01 10:00:00","FRUNIK","measured",17.0503333333333,49.525,1,48.005184,7.839931,"2023-01-01 07:19:45","2023-01-01 15:46:30",10,"day","2023-01-01","leafless",2023,1,1,9,"2023-01-01 09:59:00",2.43,3.08,-4.0436666666666,18
"11",66,66,"2023-01-01 11:00:00","FRUNIK","measured",17.9788333333333,44.15,1,48.005184,7.839931,"2023-01-01 07:19:45","2023-01-01 15:46:30",11,"day","2023-01-01","leafless",2023,1,1,10,"2023-01-01 10:59:00",1.48,2.75,-0.9285,19
"12",67,67,"2023-01-01 12:00:00","FRUNIK","measured",16.7365,46.89,1,48.005184,7.839931,"2023-01-01 07:19:45","2023-01-01 15:46:30",12,"day","2023-01-01","leafless",2023,1,1,11,"2023-01-01 11:59:00",1.78,3.27,1.2423333333333,20
"13",74,74,"2023-01-01 13:00:00","FRUNIK","measured",17.0783333333333,45.3366666666667,1,48.005184,7.839931,"2023-01-01 07:19:45","2023-01-01 15:46:30",13,"day","2023-01-01","leafless",2023,1,1,12,"2023-01-01 12:59:00",1.48,2.28,-0.341833333333302,21
"14",84,84,"2023-01-01 14:00:00","FRUNIK","measured",16.7863333333333,45.22,1,48.005184,7.839931,"2023-01-01 07:19:45","2023-01-01 15:46:30",14,"day","2023-01-01","leafless",2023,1,1,13,"2023-01-01 13:59:00",1.62,2.41,0.292000000000002,22
"15",88,88,"2023-01-01 15:00:00","FRUNIK","measured",16.1695,48.3866666666667,1,48.005184,7.839931,"2023-01-01 07:19:45","2023-01-01 15:46:30",15,"day","2023-01-01","leafless",2023,1,1,14,"2023-01-01 14:59:00",1.29,2,0.6168333333333,23
"16",94,94,"2023-01-01 16:00:00","FRUNIK","measured",14.2728333333333,59.2066666666667,1,48.005184,7.839931,"2023-01-01 07:19:45","2023-01-01 15:46:30",16,"night","2023-01-01","leafless",2023,1,1,15,"2023-01-01 15:59:00",1.44,1.92,1.8966666666667,0
"17",100,100,"2023-01-01 17:00:00","FRUNIK","measured",12.7061666666667,65.6066666666667,1,48.005184,7.839931,"2023-01-01 07:19:45","2023-01-01 15:46:30",17,"night","2023-01-01","leafless",2023,1,1,16,"2023-01-01 16:59:00",1.44,2.34,1.5666666666666,1
"18",107,107,"2023-01-01 18:00:00","FRUNIK","measured",11.8591666666667,68.4316666666667,1,48.005184,7.839931,"2023-01-01 07:19:45","2023-01-01 15:46:30",18,"night","2023-01-01","leafless",2023,1,1,17,"2023-01-01 17:59:00",1.1,2.31,0.847,2
"19",109,109,"2023-01-01 19:00:00","FRUNIK","measured",14.983,49.1433333333334,1,48.005184,7.839931,"2023-01-01 07:19:45","2023-01-01 15:46:30",19,"night","2023-01-01","leafless",2023,1,1,18,"2023-01-01 18:59:00",4.46,6.65,-3.1238333333333,3
"20",116,116,"2023-01-01 20:00:00","FRUNIK","measured",14.6168333333333,49.3383333333333,1,48.005184,7.839931,"2023-01-01 07:19:45","2023-01-01 15:46:30",20,"night","2023-01-01","leafless",2023,1,1,19,"2023-01-01 19:59:00",4.37,5.74,0.3661666666667,4
"21",122,122,"2023-01-01 21:00:00","FRUNIK","measured",13.5075,52.5216666666667,1,48.005184,7.839931,"2023-01-01 07:19:45","2023-01-01 15:46:30",21,"night","2023-01-01","leafless",2023,1,1,20,"2023-01-01 20:59:00",3.63,4.95,1.1093333333333,5
"22",127,127,"2023-01-01 22:00:00","FRUNIK","measured",11.1656666666667,63.8983333333333,1,48.005184,7.839931,"2023-01-01 07:19:45","2023-01-01 15:46:30",22,"night","2023-01-01","leafless",2023,1,1,21,"2023-01-01 21:59:00",2.73,3.44,2.3418333333333,6
"23",134,134,"2023-01-01 23:00:00","FRUNIK","measured",10.5345,70.5183333333334,1,48.005184,7.839931,"2023-01-01 07:19:45","2023-01-01 15:46:30",23,"night","2023-01-01","leafless",2023,1,1,22,"2023-01-01 22:59:00",1.56,2.99,0.631166666666701,7
