"","X","X.x","datetime","station_id","type","ta","rh","No","station_lat","station_lon","sunrise","sunset","time","period","month","season","Year","Month","Day_of_month","Hour","YYYYMMDDHHMM_To","WindSpeed_Avg_m_s","WindSpeed_Max_m_s","cooling_rate","rounded_hour","time_after_sunset","V_N_I","V_N","date_only"
"3841",3841,19201,"2023-06-10","FRHOCH","measured",19.0363333333333,64.0183333333333,1,48.053762,7.805014,"03:30:43","19H 28M 20S","00:00:00","night",6,"canopy",2023,6,10,0,"2023-06-10 00:59:00",1.8,2.75,-0.0268768115942043,19,5,"   I",6,2023-06-10
"3842",3842,19207,"2023-06-10 01:00:00","FRHOCH","measured",18.7615,69.715,1,48.053762,7.805014,"03:30:43","19H 28M 20S","01:00:00","night",6,"canopy",2023,6,10,1,"2023-06-10 01:59:00",0.88,2.19,0.274833333333298,19,6,"   I",0,2023-06-10
"3843",3843,19214,"2023-06-10 02:00:00","FRHOCH","measured",16.5263333333333,76.08,1,48.053762,7.805014,"03:30:43","19H 28M 20S","02:00:00","night",6,"canopy",2023,6,10,2,"2023-06-10 02:59:00",2.13,3.19,2.2351666666667,19,7,"   I",0,2023-06-10
"3844",3844,19218,"2023-06-10 03:00:00","FRHOCH","measured",14.9935,82.2366666666666,1,48.053762,7.805014,"03:30:43","19H 28M 20S","03:00:00","night",6,"canopy",2023,6,10,3,"2023-06-10 03:59:00",1.2,1.74,1.5328333333333,19,8,"   I",0,2023-06-10
"3845",3845,19224,"2023-06-10 04:00:00","FRHOCH","measured",14.9185,81.2866666666667,1,48.053762,7.805014,"03:30:43","19H 28M 20S","04:00:00","day",6,"canopy",2023,6,10,4,"2023-06-10 04:59:00",1.02,1.98,0.0749999999999993,19,9,"   I",0,2023-06-10
"3846",3846,19229,"2023-06-10 05:00:00","FRHOCH","measured",16.694,76.4133333333334,1,48.053762,7.805014,"03:30:43","19H 28M 20S","05:00:00","day",6,"canopy",2023,6,10,5,"2023-06-10 05:59:00",1.57,2.31,-1.7755,19,10,"   I",0,2023-06-10
"3847",3847,19234,"2023-06-10 06:00:00","FRHOCH","measured",19.4555,66.1933333333333,1,48.053762,7.805014,"03:30:43","19H 28M 20S","06:00:00","day",6,"canopy",2023,6,10,6,"2023-06-10 06:59:00",2.17,3.09,-2.7615,19,11,"   I",0,2023-06-10
"3848",3848,19239,"2023-06-10 07:00:00","FRHOCH","measured",21.5708333333333,61.4866666666666,1,48.053762,7.805014,"03:30:43","19H 28M 20S","07:00:00","day",6,"canopy",2023,6,10,7,"2023-06-10 07:59:00",2.57,3.67,-2.1153333333333,19,12,"   I",0,2023-06-10
"3849",3849,19241,"2023-06-10 08:00:00","FRHOCH","measured",23.4403333333333,55.7983333333333,1,48.053762,7.805014,"03:30:43","19H 28M 20S","08:00:00","day",6,"canopy",2023,6,10,8,"2023-06-10 08:59:00",2.8,4.42,-1.8695,19,13,"   I",0,2023-06-10
"3850",3850,19248,"2023-06-10 09:00:00","FRHOCH","measured",25.1080833333333,51.5,1,48.053762,7.805014,"03:30:43","19H 28M 20S","09:00:00","day",6,"canopy",2023,6,10,9,"2023-06-10 09:59:00",2.15,3.64,-1.66775,19,14,"   I",0,2023-06-10
"3851",3851,19253,"2023-06-10 10:00:00","FRHOCH","measured",26.4989166666667,46.1716666666666,1,48.053762,7.805014,"03:30:43","19H 28M 20S","10:00:00","day",6,"canopy",2023,6,10,10,"2023-06-10 10:59:00",2.86,4.48,-1.3908333333334,19,15,"   I",0,2023-06-10
"3852",3852,19256,"2023-06-10 11:00:00","FRHOCH","measured",28.5045,39.8075,2,48.053762,7.805014,"03:30:43","19H 28M 20S","11:00:00","day",6,"canopy",2023,6,10,11,"2023-06-10 11:59:00",3.07,4.92,-2.0055833333333,19,16,"   I",0,2023-06-10
"3853",3853,19263,"2023-06-10 12:00:00","FRHOCH","measured",29.1396666666667,36.9733333333334,1,48.053762,7.805014,"03:30:43","19H 28M 20S","12:00:00","day",6,"canopy",2023,6,10,12,"2023-06-10 12:59:00",2.96,5.03,-0.635166666666699,19,17,"   I",1,2023-06-10
"3854",3854,19268,"2023-06-10 13:00:00","FRHOCH","measured",29.0235,35.4333333333333,1,48.053762,7.805014,"03:30:43","19H 28M 20S","13:00:00","day",6,"canopy",2023,6,10,13,"2023-06-10 13:59:00",2.36,5.52,0.1161666666667,19,18,"   I",8,2023-06-10
"3855",3855,19274,"2023-06-10 14:00:00","FRHOCH","measured",29.0334166666667,38.1466666666667,1,48.053762,7.805014,"03:30:43","19H 28M 20S","14:00:00","day",6,"canopy",2023,6,10,14,"2023-06-10 14:59:00",1.71,3.54,-0.00991666666670099,19,19,"   I",8,2023-06-10
"3856",3856,19278,"2023-06-10 15:00:00","FRHOCH","measured",30.3244166666667,35.695,1,48.053762,7.805014,"03:30:43","19H 28M 20S","15:00:00","day",6,"canopy",2023,6,10,15,"2023-06-10 15:59:00",2.03,4.86,-1.291,19,20,"   I",7,2023-06-10
"3857",3857,19281,"2023-06-10 16:00:00","FRHOCH","measured",27.3315833333333,44.15,1,48.053762,7.805014,"03:30:43","19H 28M 20S","16:00:00","day",6,"canopy",2023,6,10,16,"2023-06-10 16:59:00",1.55,3.42,2.9928333333334,19,21,"   I",7,2023-06-10
"3858",3858,19288,"2023-06-10 17:00:00","FRHOCH","measured",28.07575,41.6191666666667,1,48.053762,7.805014,"03:30:43","19H 28M 20S","17:00:00","day",6,"canopy",2023,6,10,17,"2023-06-10 17:59:00",1.16,2.08,-0.7441666666667,19,22,"   I",2,2023-06-10
"3859",3859,19292,"2023-06-10 18:00:00","FRHOCH","measured",27.3475,45.1125,1,48.053762,7.805014,"03:30:43","19H 28M 20S","18:00:00","day",6,"canopy",2023,6,10,18,"2023-06-10 18:59:00",2.77,7.3,0.728249999999999,19,23,"   I",5,2023-06-10
"3860",3860,19296,"2023-06-10 19:00:00","FRHOCH","measured",24.2651666666667,58.2216666666667,1,48.053762,7.805014,"03:30:43","19H 28M 20S","19:00:00","day",6,"canopy",2023,6,10,19,"2023-06-10 19:59:00",5.21,6.26,3.0823333333333,19,0,"   I",2,2023-06-10
"3861",3861,19304,"2023-06-10 20:00:00","FRHOCH","measured",23.36525,52.17,2,48.053762,7.805014,"03:30:43","19H 28M 20S","20:00:00","night",6,"canopy",2023,6,10,20,"2023-06-10 20:59:00",5.11,6.48,0.899916666666702,19,1,"   I",7,2023-06-10
"3862",3862,19306,"2023-06-10 21:00:00","FRHOCH","measured",21.172,63.0841666666667,1,48.053762,7.805014,"03:30:43","19H 28M 20S","21:00:00","night",6,"canopy",2023,6,10,21,"2023-06-10 21:59:00",6.13,7.04,2.19325,19,2,"   I",0,2023-06-10
"3863",3863,19312,"2023-06-10 22:00:00","FRHOCH","measured",19.8648636363637,66.3565454545455,2,48.053762,7.805014,"03:30:43","19H 28M 20S","22:00:00","night",6,"canopy",2023,6,10,22,"2023-06-10 22:59:00",5.66,7.16,1.3071363636363,19,3,"   I",0,2023-06-10
"3864",3864,19316,"2023-06-10 23:00:00","FRHOCH","measured",18.108,80.53,2,48.053762,7.805014,"03:30:43","19H 28M 20S","23:00:00","night",6,"canopy",2023,6,10,23,"2023-06-10 23:59:00",2.67,4.1,1.7568636363637,19,4,"   I",0,2023-06-10
"3865",3865,19321,"2023-06-11","FRHOCH","measured",17.8345,75.1750000000001,2,48.053762,7.805014,"03:30:27","19H 28M 59S","00:00:00","night",6,"canopy",2023,6,11,0,"2023-06-11 00:59:00",5.11,6.6,-0.0118913043478262,19,5,"   I",0,2023-06-11
"3866",3866,19330,"2023-06-11 01:00:00","FRHOCH","measured",20.1271666666667,62.2583333333334,1,48.053762,7.805014,"03:30:27","19H 28M 59S","01:00:00","night",6,"canopy",2023,6,11,1,"2023-06-11 01:59:00",6.19,7.7,-2.2926666666667,19,6,"   I",0,2023-06-11
"3867",3867,19333,"2023-06-11 02:00:00","FRHOCH","measured",20.19675,62.3783333333334,1,48.053762,7.805014,"03:30:27","19H 28M 59S","02:00:00","night",6,"canopy",2023,6,11,2,"2023-06-11 02:59:00",6.22,7.24,-0.069583333333302,19,7,"   I",0,2023-06-11
"3868",3868,19337,"2023-06-11 03:00:00","FRHOCH","measured",16.3415,81.6400000000001,2,48.053762,7.805014,"03:30:27","19H 28M 59S","03:00:00","night",6,"canopy",2023,6,11,3,"2023-06-11 03:59:00",6.26,7.51,3.85525,19,8,"   I",0,2023-06-11
"3869",3869,19341,"2023-06-11 04:00:00","FRHOCH","measured",15.493,84.5400000000001,2,48.053762,7.805014,"03:30:27","19H 28M 59S","04:00:00","day",6,"canopy",2023,6,11,4,"2023-06-11 04:59:00",4.52,6.97,0.8485,19,9,"   I",0,2023-06-11
"3870",3870,19346,"2023-06-11 05:00:00","FRHOCH","measured",18.2265833333333,77.3216666666666,1,48.053762,7.805014,"03:30:27","19H 28M 59S","05:00:00","day",6,"canopy",2023,6,11,5,"2023-06-11 05:59:00",2.31,4.47,-2.7335833333333,19,10,"   I",0,2023-06-11
"3871",3871,19354,"2023-06-11 06:00:00","FRHOCH","measured",20.8824166666667,66.0908333333333,1,48.053762,7.805014,"03:30:27","19H 28M 59S","06:00:00","day",6,"canopy",2023,6,11,6,"2023-06-11 06:59:00",1.72,2.96,-2.6558333333334,19,11,"   I",0,2023-06-11
"3872",3872,19357,"2023-06-11 07:00:00","FRHOCH","measured",22.8318333333333,58.6883333333333,1,48.053762,7.805014,"03:30:27","19H 28M 59S","07:00:00","day",6,"canopy",2023,6,11,7,"2023-06-11 07:59:00",2.5,3.27,-1.9494166666666,19,12,"   I",0,2023-06-11
"3873",3873,19361,"2023-06-11 08:00:00","FRHOCH","measured",25.2185833333333,51.1375,1,48.053762,7.805014,"03:30:27","19H 28M 59S","08:00:00","day",6,"canopy",2023,6,11,8,"2023-06-11 08:59:00",2.87,3.98,-2.38675,19,13,"   I",0,2023-06-11
"3874",3874,19368,"2023-06-11 09:00:00","FRHOCH","measured",26.941,45.9583333333333,1,48.053762,7.805014,"03:30:27","19H 28M 59S","09:00:00","day",6,"canopy",2023,6,11,9,"2023-06-11 09:59:00",3.1,4.57,-1.7224166666667,19,14,"   I",0,2023-06-11
"3875",3875,19375,"2023-06-11 10:00:00","FRHOCH","measured",27.5883333333333,43.895,1,48.053762,7.805014,"03:30:27","19H 28M 59S","10:00:00","day",6,"canopy",2023,6,11,10,"2023-06-11 10:59:00",3.07,4.73,-0.6473333333333,19,15,"   I",0,2023-06-11
"3876",3876,19378,"2023-06-11 11:00:00","FRHOCH","measured",28.5073333333333,40.9866666666667,1,48.053762,7.805014,"03:30:27","19H 28M 59S","11:00:00","day",6,"canopy",2023,6,11,11,"2023-06-11 11:59:00",3.28,4.84,-0.919,19,16,"   I",2,2023-06-11
"3877",3877,19384,"2023-06-11 12:00:00","FRHOCH","measured",30.356,34.5,1,48.053762,7.805014,"03:30:27","19H 28M 59S","12:00:00","day",6,"canopy",2023,6,11,12,"2023-06-11 12:59:00",4.56,6.82,-1.8486666666667,19,17,"   I",2,2023-06-11
"3878",3878,19387,"2023-06-11 13:00:00","FRHOCH","measured",31.2011666666667,30.3416666666667,1,48.053762,7.805014,"03:30:27","19H 28M 59S","13:00:00","day",6,"canopy",2023,6,11,13,"2023-06-11 13:59:00",3.86,5.76,-0.845166666666699,19,18,"   I",5,2023-06-11
"3879",3879,19394,"2023-06-11 14:00:00","FRHOCH","measured",31.7158333333333,29.22,1,48.053762,7.805014,"03:30:27","19H 28M 59S","14:00:00","day",6,"canopy",2023,6,11,14,"2023-06-11 14:59:00",4.07,6.49,-0.514666666666599,19,19,"   I",1,2023-06-11
"3880",3880,19397,"2023-06-11 15:00:00","FRHOCH","measured",31.3861666666667,28.6316666666667,1,48.053762,7.805014,"03:30:27","19H 28M 59S","15:00:00","day",6,"canopy",2023,6,11,15,"2023-06-11 15:59:00",3.57,5.39,0.329666666666601,19,20,"   I",5,2023-06-11
"3881",3881,19402,"2023-06-11 16:00:00","FRHOCH","measured",31.326,28.6816666666667,1,48.053762,7.805014,"03:30:27","19H 28M 59S","16:00:00","day",6,"canopy",2023,6,11,16,"2023-06-11 16:59:00",3.76,5.98,0.0601666666666993,19,21,"   I",3,2023-06-11
"3882",3882,19409,"2023-06-11 17:00:00","FRHOCH","measured",30.8616666666667,28.0333333333333,1,48.053762,7.805014,"03:30:27","19H 28M 59S","17:00:00","day",6,"canopy",2023,6,11,17,"2023-06-11 17:59:00",3.88,6.23,0.4643333333333,19,22,"   I",0,2023-06-11
