"Year","Month","Day_of_month","Hour","YYYYMMDDHHMM_From","YYYYMMDDHHMM_To","WindSpeed_Avg_m_s","WindSpeed_Max_m_s","WindSpeed_gap_filled_percent","WindSpeed_missing_data_percent"
2023,1,1,0,202301010000,202301010059,5.38,8.30,0.00,0.00
2023,1,1,1,202301010100,202301010159,4.72,6.93,0.00,0.00
2023,1,1,2,202301010200,202301010259,4.56,7.38,0.00,0.00
2023,1,1,3,202301010300,202301010359,4.23,5.66,0.00,0.00
2023,1,1,4,202301010400,202301010459,5.01,7.44,0.00,0.00
2023,1,1,5,202301010500,202301010559,2.22,3.33,0.00,0.00
2023,1,1,6,202301010600,202301010659,2.48,3.96,0.00,0.00
2023,1,1,7,202301010700,202301010759,1.69,2.66,0.00,0.00
2023,1,1,8,202301010800,202301010859,1.91,3.17,0.00,0.00
2023,1,1,9,202301010900,202301010959,2.43,3.08,0.00,0.00
2023,1,1,10,202301011000,202301011059,1.48,2.75,0.00,0.00
2023,1,1,11,202301011100,202301011159,1.78,3.27,0.00,0.00
2023,1,1,12,202301011200,202301011259,1.48,2.28,0.00,0.00
2023,1,1,13,202301011300,202301011359,1.62,2.41,0.00,0.00
2023,1,1,14,202301011400,202301011459,1.29,2.00,0.00,0.00
2023,1,1,15,202301011500,202301011559,1.44,1.92,0.00,0.00
2023,1,1,16,202301011600,202301011659,1.44,2.34,0.00,0.00
2023,1,1,17,202301011700,202301011759,1.10,2.31,0.00,0.00
2023,1,1,18,202301011800,202301011859,4.46,6.65,0.00,0.00
2023,1,1,19,202301011900,202301011959,4.37,5.74,0.00,0.00
2023,1,1,20,202301012000,202301012059,3.63,4.95,0.00,0.00
2023,1,1,21,202301012100,202301012159,2.73,3.44,0.00,0.00
2023,1,1,22,202301012200,202301012259,1.56,2.99,0.00,0.00
2023,1,1,23,202301012300,202301012359,2.36,3.63,0.00,0.00
2023,1,2,0,202301020000,202301020059,1.73,3.15,0.00,0.00
2023,1,2,1,202301020100,202301020159,2.36,3.45,0.00,0.00
2023,1,2,2,202301020200,202301020259,1.84,2.52,0.00,0.00
2023,1,2,3,202301020300,202301020359,1.82,2.79,0.00,0.00
2023,1,2,4,202301020400,202301020459,2.54,4.84,0.00,0.00
2023,1,2,5,202301020500,202301020559,3.67,4.54,0.00,0.00
2023,1,2,6,202301020600,202301020659,3.52,4.31,0.00,0.00
2023,1,2,7,202301020700,202301020759,4.00,4.75,0.00,0.00
2023,1,2,8,202301020800,202301020859,3.37,4.51,0.00,0.00
2023,1,2,9,202301020900,202301020959,4.91,8.63,0.00,0.00
2023,1,2,10,202301021000,202301021059,6.54,10.55,0.00,0.00
2023,1,2,11,202301021100,202301021159,6.54,9.64,0.00,0.00
2023,1,2,12,202301021200,202301021259,6.20,8.50,0.00,0.00
2023,1,2,13,202301021300,202301021359,6.76,12.21,0.00,0.00
2023,1,2,14,202301021400,202301021459,6.42,10.10,0.00,0.00
2023,1,2,15,202301021500,202301021559,5.12,8.00,0.00,0.00
2023,1,2,16,202301021600,202301021659,6.86,11.24,0.00,0.00
2023,1,2,17,202301021700,202301021759,7.24,11.35,0.00,0.00
2023,1,2,18,202301021800,202301021859,4.88,8.10,0.00,0.00
2023,1,2,19,202301021900,202301021959,3.06,4.00,0.00,0.00
2023,1,2,20,202301022000,202301022059,2.60,3.31,0.00,0.00
2023,1,2,21,202301022100,202301022159,2.43,4.64,0.00,0.00
2023,1,2,22,202301022200,202301022259,1.52,2.68,0.00,0.00
2023,1,2,23,202301022300,202301022359,1.36,2.89,0.00,0.00
2023,1,3,0,202301030000,202301030059,1.49,2.36,0.00,0.00
2023,1,3,1,202301030100,202301030159,1.75,2.47,0.00,0.00
2023,1,3,2,202301030200,202301030259,1.26,2.20,0.00,0.00
2023,1,3,3,202301030300,202301030359,0.77,1.29,0.00,0.00
2023,1,3,4,202301030400,202301030459,0.85,1.49,0.00,0.00
2023,1,3,5,202301030500,202301030559,0.87,1.51,0.00,0.00
2023,1,3,6,202301030600,202301030659,1.08,2.11,0.00,0.00
2023,1,3,7,202301030700,202301030759,0.73,1.81,0.00,0.00
2023,1,3,8,202301030800,202301030859,1.46,2.24,0.00,0.00
2023,1,3,9,202301030900,202301030959,1.97,2.61,0.00,0.00
2023,1,3,10,202301031000,202301031059,1.65,2.31,0.00,0.00
2023,1,3,11,202301031100,202301031159,1.35,1.95,0.00,0.00
